percentCoverage,basisofrecord,country,class,totalSpeciesInCountry,totalSpeciesWith10Images,license
38.3333333333333,PRESERVED_SPECIMEN,Philippines,Lycopodiopsida,120,46,total
37.9310344827586,HUMAN_OBSERVATION,Hong Kong SAR China,Reptilia,87,33,total
37.6202974628171,PRESERVED_SPECIMEN,Ukraine,Magnoliopsida,3429,1290,total
37.5619714202391,PRESERVED_SPECIMEN,Ukraine,Magnoliopsida,3429,1288,non-commercial
37.4608150470219,HUMAN_OBSERVATION,South Africa,Aves,1276,478,non-commercial
37.4161563137941,PRESERVED_SPECIMEN,Ukraine,Magnoliopsida,3429,1283,open commercial
37.34335839599,PRESERVED_SPECIMEN,Canada,Liliopsida,2793,1043,total
37.2596153846154,PRESERVED_SPECIMEN,Philippines,Reptilia,416,155,open commercial
37.1249127704117,HUMAN_OBSERVATION,Australia,Aves,1433,532,non-commercial
37.0535714285714,PRESERVED_SPECIMEN,United States,Polypodiopsida,1568,581,total
36.897001303781,HUMAN_OBSERVATION,United States,Amphibia,767,283,non-commercial
36.81592039801,PRESERVED_SPECIMEN,Russia,Polypodiopsida,201,74,total
36.7816091954023,HUMAN_OBSERVATION,Hong Kong SAR China,Reptilia,87,32,non-commercial
36.6084275436793,PRESERVED_SPECIMEN,United States,Lecanoromycetes,4865,1781,total
36.6040169522757,PRESERVED_SPECIMEN,Russia,Magnoliopsida,10854,3973,total
36.463768115942,HUMAN_OBSERVATION,United States,Aves,3450,1258,non-commercial
35.8778625954198,HUMAN_OBSERVATION,New Zealand,Mammalia,131,47,total
35.5932203389831,PRESERVED_SPECIMEN,Madagascar,Lycopodiopsida,59,21,open commercial
35.5932203389831,PRESERVED_SPECIMEN,Madagascar,Lycopodiopsida,59,21,non-commercial
35.527809307605,HUMAN_OBSERVATION,Norway,Liliopsida,881,313,total
35.5169692186267,PRESERVED_SPECIMEN,Malaysia,Polypodiopsida,1267,450,open commercial
35.5169692186267,PRESERVED_SPECIMEN,Malaysia,Polypodiopsida,1267,450,non-commercial
35.4619124797407,PRESERVED_SPECIMEN,Puerto Rico,Magnoliopsida,3085,1094,total
35.2941176470588,HUMAN_OBSERVATION,Spain,Amphibia,68,24,total
35.0377740925005,PRESERVED_SPECIMEN,Russia,Magnoliopsida,10854,3803,non-commercial
34.9471830985916,HUMAN_OBSERVATION,Mexico,Reptilia,1136,397,total
34.6876727473742,PRESERVED_SPECIMEN,Russia,Magnoliopsida,10854,3765,open commercial
34.6379647749511,HUMAN_OBSERVATION,Hong Kong SAR China,Insecta,2044,708,total
34.5401174168297,HUMAN_OBSERVATION,Hong Kong SAR China,Insecta,2044,706,non-commercial
34.5381526104418,PRESERVED_SPECIMEN,United Kingdom,Florideophyceae,498,172,total
34.5381526104418,PRESERVED_SPECIMEN,United Kingdom,Florideophyceae,498,172,non-commercial
34.4919786096257,PRESERVED_SPECIMEN,Madagascar,Polypodiopsida,748,258,non-commercial
34.4919786096257,PRESERVED_SPECIMEN,Madagascar,Polypodiopsida,748,258,open commercial
34.3582042364844,PRESERVED_SPECIMEN,Brazil,Liliopsida,12652,4347,total
34.3283582089552,PRESERVED_SPECIMEN,United States,Equisetopsida,67,23,total
34.3283582089552,PRESERVED_SPECIMEN,Russia,Polypodiopsida,201,69,open commercial
34.3283582089552,PRESERVED_SPECIMEN,Russia,Polypodiopsida,201,69,non-commercial
34,PRESERVED_SPECIMEN,Canada,Lycopodiopsida,100,34,total
33.4896182183523,PRESERVED_SPECIMEN,Papua New Guinea,Polypodiopsida,1493,500,total
33.4507042253521,HUMAN_OBSERVATION,Mexico,Reptilia,1136,380,non-commercial
33.4135028345645,PRESERVED_SPECIMEN,Brazil,Magnoliopsida,40747,13615,non-commercial
33.3881578947368,PRESERVED_SPECIMEN,United States,Jungermanniopsida,1216,406,total
33.3333333333333,PRESERVED_SPECIMEN,Japan,Amphibia,96,32,total
32.6923076923077,HUMAN_OBSERVATION,Hong Kong SAR China,Arachnida,156,51,non-commercial
32.6923076923077,HUMAN_OBSERVATION,Hong Kong SAR China,Arachnida,156,51,total
32.5757575757576,PRESERVED_SPECIMEN,Kazakhstan,Magnoliopsida,3828,1247,total
32.5496342737722,PRESERVED_SPECIMEN,Kazakhstan,Magnoliopsida,3828,1246,open commercial
32.5496342737722,PRESERVED_SPECIMEN,Kazakhstan,Magnoliopsida,3828,1246,non-commercial
32.0610687022901,PRESERVED_SPECIMEN,Malaysia,Lycopodiopsida,131,42,total
31.9569120287253,PRESERVED_SPECIMEN,Mongolia,Liliopsida,557,178,total
31.8840579710145,PRESERVED_SPECIMEN,Guatemala,Lycopodiopsida,69,22,total
31.6463670726585,PRESERVED_SPECIMEN,United States,Liliopsida,9524,3014,non-commercial
31.25,PRESERVED_SPECIMEN,Japan,Amphibia,96,30,non-commercial
30.9292274446245,PRESERVED_SPECIMEN,New Caledonia,Magnoliopsida,3702,1145,total
30.8988764044944,PRESERVED_SPECIMEN,Dominican Republic,Reptilia,178,55,total
30.8797127468582,PRESERVED_SPECIMEN,Mongolia,Liliopsida,557,172,open commercial
30.8797127468582,PRESERVED_SPECIMEN,Mongolia,Liliopsida,557,172,non-commercial
30.8270676691729,PRESERVED_SPECIMEN,Brazil,Sphagnopsida,133,41,total
30.8263695450325,PRESERVED_SPECIMEN,Brazil,Polypodiopsida,2154,664,non-commercial
30.7692307692308,PRESERVED_SPECIMEN,Cuba,Reptilia,208,64,total
30.5343511450382,HUMAN_OBSERVATION,New Zealand,Mammalia,131,40,non-commercial
30.4878048780488,PRESERVED_SPECIMEN,Haiti,Reptilia,164,50,total
30.2228412256267,PRESERVED_SPECIMEN,Brazil,Polypodiopsida,2154,651,open commercial
30.062893081761,PRESERVED_SPECIMEN,Guatemala,Polypodiopsida,795,239,total
30.0611087932854,PRESERVED_SPECIMEN,Brazil,Magnoliopsida,40747,12249,open commercial
29.9342105263158,PRESERVED_SPECIMEN,Canada,Polypodiopsida,304,91,total
29.7752808988764,PRESERVED_SPECIMEN,Kenya,Amphibia,178,53,total
29.5454545454545,PRESERVED_SPECIMEN,Saudi Arabia,Reptilia,132,39,total
29.5454545454545,PRESERVED_SPECIMEN,Saudi Arabia,Reptilia,132,39,non-commercial
29.2857142857143,PRESERVED_SPECIMEN,United States,Marchantiopsida,140,41,non-commercial
29.2079207920792,HUMAN_OBSERVATION,South Africa,Amphibia,202,59,total
29.1666666666667,PRESERVED_SPECIMEN,Japan,Amphibia,96,28,open commercial
29.1666666666667,PRESERVED_SPECIMEN,United States,Anopla,72,21,total
29.0020093770931,PRESERVED_SPECIMEN,Papua New Guinea,Polypodiopsida,1493,433,non-commercial
28.8888888888889,PRESERVED_SPECIMEN,United States,Sphagnopsida,135,39,non-commercial
28.8655462184874,PRESERVED_SPECIMEN,Mongolia,Magnoliopsida,2380,687,total
28.8235294117647,PRESERVED_SPECIMEN,Mongolia,Magnoliopsida,2380,686,open commercial
28.8235294117647,PRESERVED_SPECIMEN,Mongolia,Magnoliopsida,2380,686,non-commercial
28.7128712871287,HUMAN_OBSERVATION,South Africa,Amphibia,202,58,non-commercial
28.6516853932584,PRESERVED_SPECIMEN,Dominican Republic,Reptilia,178,51,non-commercial
28.6061588330632,PRESERVED_SPECIMEN,New Caledonia,Magnoliopsida,3702,1059,non-commercial
28.5714285714286,PRESERVED_SPECIMEN,United States,Marchantiopsida,140,40,open commercial
28.4981091301999,PRESERVED_SPECIMEN,New Caledonia,Magnoliopsida,3702,1055,open commercial
28.4903518728717,PRESERVED_SPECIMEN,Norway,Liliopsida,881,251,non-commercial
28.4841075794621,PRESERVED_SPECIMEN,Kazakhstan,Liliopsida,818,233,total
28.4671532846715,HUMAN_OBSERVATION,South Korea,Aves,548,156,open commercial
28.4661754855995,PRESERVED_SPECIMEN,Papua New Guinea,Polypodiopsida,1493,425,open commercial
28.4313725490196,PRESERVED_SPECIMEN,French Southern Territories,Magnoliopsida,102,29,total
28.2333873581848,PRESERVED_SPECIMEN,Puerto Rico,Magnoliopsida,3085,871,non-commercial
28.2107307598932,PRESERVED_SPECIMEN,Dominican Republic,Magnoliopsida,4119,1162,total
28.0898876404494,PRESERVED_SPECIMEN,Kenya,Amphibia,178,50,non-commercial
28.053035589672,PRESERVED_SPECIMEN,Australia,Aves,1433,402,total
28.0487804878049,PRESERVED_SPECIMEN,Guam,Polypodiopsida,82,23,total
27.9740680713128,PRESERVED_SPECIMEN,Puerto Rico,Magnoliopsida,3085,863,open commercial
27.906976744186,PRESERVED_SPECIMEN,Mayotte,Polypodiopsida,86,24,total
27.8941565600882,HUMAN_OBSERVATION,Spain,Aves,907,253,total
27.7749360613811,HUMAN_OBSERVATION,Norway,Agaricomycetes,3910,1086,total
27.6343335659456,PRESERVED_SPECIMEN,Costa Rica,Polypodiopsida,1433,396,total
27.6283618581907,PRESERVED_SPECIMEN,Kazakhstan,Liliopsida,818,226,non-commercial
27.6283618581907,PRESERVED_SPECIMEN,Kazakhstan,Liliopsida,818,226,open commercial
27.5280898876405,PRESERVED_SPECIMEN,Kenya,Amphibia,178,49,open commercial
27.5250578257517,PRESERVED_SPECIMEN,Bahamas,Magnoliopsida,1297,357,total
27.5,PRESERVED_SPECIMEN,United Kingdom,Branchiopoda,120,33,open commercial
27.5,PRESERVED_SPECIMEN,United Kingdom,Branchiopoda,120,33,total
27.5,PRESERVED_SPECIMEN,United Kingdom,Branchiopoda,120,33,non-commercial
27.4809160305344,PRESERVED_SPECIMEN,Malaysia,Lycopodiopsida,131,36,non-commercial
27.4809160305344,PRESERVED_SPECIMEN,Malaysia,Lycopodiopsida,131,36,open commercial
27.4038461538462,PRESERVED_SPECIMEN,Cuba,Reptilia,208,57,non-commercial
27.2727272727273,PRESERVED_SPECIMEN,Saudi Arabia,Reptilia,132,36,open commercial
26.8518518518519,PRESERVED_SPECIMEN,Afghanistan,Reptilia,108,29,open commercial
26.8518518518519,PRESERVED_SPECIMEN,Afghanistan,Reptilia,108,29,total
26.8518518518519,PRESERVED_SPECIMEN,Afghanistan,Reptilia,108,29,non-commercial
26.7857142857143,PRESERVED_SPECIMEN,Liberia,Polypodiopsida,168,45,total
26.7441860465116,PRESERVED_SPECIMEN,Mayotte,Polypodiopsida,86,23,open commercial
26.7441860465116,PRESERVED_SPECIMEN,Mayotte,Polypodiopsida,86,23,non-commercial
26.5875785066294,PRESERVED_SPECIMEN,Australia,Aves,1433,381,non-commercial
26.5060240963855,PRESERVED_SPECIMEN,Australia,Charophyceae,83,22,non-commercial
26.5060240963855,PRESERVED_SPECIMEN,Australia,Charophyceae,83,22,total
26.5060240963855,PRESERVED_SPECIMEN,Australia,Charophyceae,83,22,open commercial
26.3157894736842,PRESERVED_SPECIMEN,Canada,Jungermanniopsida,494,130,total
26.3157894736842,PRESERVED_SPECIMEN,Chile,Polypodiopsida,304,80,total
26.1992619926199,PRESERVED_SPECIMEN,Greenland,Liliopsida,271,71,total
26.168876482903,PRESERVED_SPECIMEN,Australia,Aves,1433,375,open commercial
26.0089686098655,PRESERVED_SPECIMEN,Brazil,Ulvophyceae,223,58,total
25.9191176470588,PRESERVED_SPECIMEN,Puerto Rico,Liliopsida,1088,282,total
25.8064516129032,HUMAN_OBSERVATION,Italy,Reptilia,155,40,total
25.6756756756757,PRESERVED_SPECIMEN,Puerto Rico,Florideophyceae,296,76,non-commercial
25.6756756756757,PRESERVED_SPECIMEN,Puerto Rico,Florideophyceae,296,76,open commercial
25.6756756756757,PRESERVED_SPECIMEN,Puerto Rico,Florideophyceae,296,76,total
25.674633770239,PRESERVED_SPECIMEN,Bahamas,Magnoliopsida,1297,333,non-commercial
25.6637168141593,PRESERVED_SPECIMEN,Spain,Polypodiopsida,339,87,total
25.609756097561,PRESERVED_SPECIMEN,Haiti,Reptilia,164,42,non-commercial
25.5528255528256,PRESERVED_SPECIMEN,Fiji,Polypodiopsida,407,104,total
25.5417956656347,HUMAN_OBSERVATION,Norway,Magnoliopsida,3876,990,total
25.4658385093168,PRESERVED_SPECIMEN,Puerto Rico,Ulvophyceae,161,41,total
25.4658385093168,PRESERVED_SPECIMEN,Puerto Rico,Ulvophyceae,161,41,open commercial
25.4658385093168,PRESERVED_SPECIMEN,Puerto Rico,Ulvophyceae,161,41,non-commercial
25.3289473684211,HUMAN_OBSERVATION,Canada,Polypodiopsida,304,77,total
25.3275109170306,PRESERVED_SPECIMEN,United Kingdom,Elasmobranchii,229,58,open commercial
25.3275109170306,PRESERVED_SPECIMEN,United Kingdom,Elasmobranchii,229,58,total
25.3275109170306,PRESERVED_SPECIMEN,United Kingdom,Elasmobranchii,229,58,non-commercial
25.1162790697674,PRESERVED_SPECIMEN,United States,Ustilaginomycetes,215,54,open commercial
25.1162790697674,PRESERVED_SPECIMEN,United States,Ustilaginomycetes,215,54,total
25.1162790697674,PRESERVED_SPECIMEN,United States,Ustilaginomycetes,215,54,non-commercial
25,PRESERVED_SPECIMEN,Uganda,Actinopterygii,300,75,total
25,PRESERVED_SPECIMEN,Uganda,Actinopterygii,300,75,non-commercial
24.971363115693,PRESERVED_SPECIMEN,Mayotte,Magnoliopsida,873,218,total
24.7422680412371,PRESERVED_SPECIMEN,Mayotte,Magnoliopsida,873,216,open commercial
24.7422680412371,PRESERVED_SPECIMEN,Mayotte,Magnoliopsida,873,216,non-commercial
24.6428571428571,PRESERVED_SPECIMEN,Brazil,Lycopodiopsida,280,69,non-commercial
24.4274809160305,HUMAN_OBSERVATION,New Zealand,Magnoliopsida,6812,1664,total
24.4231774056046,HUMAN_OBSERVATION,United States,Magnoliopsida,36363,8881,total
24.3981209630065,HUMAN_OBSERVATION,New Zealand,Magnoliopsida,6812,1662,non-commercial
24.3421052631579,HUMAN_OBSERVATION,Canada,Polypodiopsida,304,74,non-commercial
24.3333333333333,PRESERVED_SPECIMEN,Uganda,Actinopterygii,300,73,open commercial
24.2718446601942,HUMAN_OBSERVATION,Costa Rica,Aves,1236,300,total
24.1935483870968,PRESERVED_SPECIMEN,Costa Rica,Lycopodiopsida,124,30,total
24.103299856528,PRESERVED_SPECIMEN,Mexico,Polypodiopsida,1394,336,total
24.0555127216654,PRESERVED_SPECIMEN,Bahamas,Magnoliopsida,1297,312,open commercial
23.9482200647249,HUMAN_OBSERVATION,Costa Rica,Aves,1236,296,non-commercial
23.9285714285714,PRESERVED_SPECIMEN,Brazil,Lycopodiopsida,280,67,open commercial
23.7301652778924,PRESERVED_SPECIMEN,United States,Magnoliopsida,36363,8629,non-commercial
23.3241505968779,PRESERVED_SPECIMEN,United Kingdom,Actinopterygii,1089,254,open commercial
23.3241505968779,PRESERVED_SPECIMEN,United Kingdom,Actinopterygii,1089,254,total
23.3241505968779,PRESERVED_SPECIMEN,United Kingdom,Actinopterygii,1089,254,non-commercial
23.2451093210587,PRESERVED_SPECIMEN,New Caledonia,Liliopsida,869,202,total
23.1472081218274,HUMAN_OBSERVATION,Russia,Aves,985,228,total
22.9787234042553,PRESERVED_SPECIMEN,Dominica,Polypodiopsida,235,54,total
22.962962962963,PRESERVED_SPECIMEN,United States,Sphagnopsida,135,31,open commercial
22.8453508133042,PRESERVED_SPECIMEN,Dominican Republic,Magnoliopsida,4119,941,non-commercial
22.8136882129278,PRESERVED_SPECIMEN,United Kingdom,Hydrozoa,263,60,non-commercial
22.8136882129278,PRESERVED_SPECIMEN,United Kingdom,Hydrozoa,263,60,open commercial
22.8136882129278,PRESERVED_SPECIMEN,United Kingdom,Hydrozoa,263,60,total
22.7836879432624,PRESERVED_SPECIMEN,Indonesia,Polypodiopsida,2256,514,total
22.7098974232049,HUMAN_OBSERVATION,United States,Magnoliopsida,36363,8258,non-commercial
22.6361031518625,HUMAN_OBSERVATION,Madagascar,Aves,349,79,non-commercial
22.6361031518625,HUMAN_OBSERVATION,Madagascar,Aves,349,79,total
22.5340945131621,PRESERVED_SPECIMEN,Cuba,Magnoliopsida,6306,1421,total
22.3952738990333,HUMAN_OBSERVATION,New Zealand,Liliopsida,1862,417,total
22.3840738043214,PRESERVED_SPECIMEN,Dominican Republic,Magnoliopsida,4119,922,open commercial
22.3472668810289,PRESERVED_SPECIMEN,Dominican Republic,Polypodiopsida,622,139,open commercial
22.3472668810289,PRESERVED_SPECIMEN,Dominican Republic,Polypodiopsida,622,139,non-commercial
22.3415682062299,HUMAN_OBSERVATION,New Zealand,Liliopsida,1862,416,non-commercial
22.3350253807107,HUMAN_OBSERVATION,Russia,Aves,985,220,non-commercial
22.1649484536082,HUMAN_OBSERVATION,Martinique,Aves,194,43,total
22.1649484536082,HUMAN_OBSERVATION,Martinique,Aves,194,43,non-commercial
22.0484753713839,HUMAN_OBSERVATION,United Kingdom,Aves,1279,282,total
21.9322165952474,PRESERVED_SPECIMEN,Spain,Liliopsida,2567,563,total
21.8761188686001,PRESERVED_SPECIMEN,Canada,Liliopsida,2793,611,non-commercial
21.8642117376295,PRESERVED_SPECIMEN,New Caledonia,Liliopsida,869,190,non-commercial
21.8642117376295,PRESERVED_SPECIMEN,New Caledonia,Liliopsida,869,190,open commercial
21.780303030303,HUMAN_OBSERVATION,Singapore,Aves,528,115,total
21.7026513032778,PRESERVED_SPECIMEN,United States,Agaricomycetes,8939,1940,total
21.6553536238231,PRESERVED_SPECIMEN,Canada,Magnoliopsida,9134,1978,total
21.6494845360825,HUMAN_OBSERVATION,New Zealand,Maxillopoda,97,21,non-commercial
21.6494845360825,HUMAN_OBSERVATION,New Zealand,Maxillopoda,97,21,total
21.6161616161616,PRESERVED_SPECIMEN,Puerto Rico,Polypodiopsida,495,107,non-commercial
21.5952251763429,PRESERVED_SPECIMEN,Canada,Bryopsida,1843,398,total
21.5909090909091,HUMAN_OBSERVATION,Singapore,Aves,528,114,non-commercial
21.4141414141414,PRESERVED_SPECIMEN,Puerto Rico,Polypodiopsida,495,106,open commercial
21.0994967092528,PRESERVED_SPECIMEN,Madagascar,Magnoliopsida,10332,2180,total
20.997442455243,PRESERVED_SPECIMEN,Norway,Agaricomycetes,3910,821,total
20.8588957055215,PRESERVED_SPECIMEN,Mexico,Lycopodiopsida,163,34,total
20.8405797101449,PRESERVED_SPECIMEN,United States,Aves,3450,719,total
20.8301306687164,PRESERVED_SPECIMEN,Brazil,Jungermanniopsida,1301,271,total
20.7720588235294,PRESERVED_SPECIMEN,Puerto Rico,Liliopsida,1088,226,non-commercial
20.7572235137828,HUMAN_OBSERVATION,South Africa,Liliopsida,6022,1250,total
20.7547169811321,HUMAN_OBSERVATION,Australia,Amphibia,318,66,total
20.6896551724138,PRESERVED_SPECIMEN,South Africa,Aves,1276,264,total
20.6666666666667,PRESERVED_SPECIMEN,New Zealand,Polypodiopsida,450,93,total
20.6563706563707,HUMAN_OBSERVATION,Hong Kong SAR China,Aves,518,107,total
20.6451612903226,HUMAN_OBSERVATION,Italy,Reptilia,155,32,non-commercial
20.6140350877193,PRESERVED_SPECIMEN,Australia,Demospongiae,1140,235,total
20.4963235294118,PRESERVED_SPECIMEN,Puerto Rico,Liliopsida,1088,223,open commercial
20.4633204633205,HUMAN_OBSERVATION,Hong Kong SAR China,Aves,518,106,non-commercial
20.4052098408104,PRESERVED_SPECIMEN,France,Florideophyceae,691,141,total
20.3999367688903,PRESERVED_SPECIMEN,Brazil,Liliopsida,12652,2581,non-commercial
20.3931203931204,HUMAN_OBSERVATION,South Africa,Agaricomycetes,407,83,total
20.3931203931204,HUMAN_OBSERVATION,South Africa,Agaricomycetes,407,83,non-commercial
